BA Flight,STA / STD,DOW,Origin,Destination,Inbound / Outbound
BA 8730,20:45,Sunday,LCY,GLA,Outbound
BA 3285,15:50,Sunday,IOM,LCY,Inbound
BA 3287,19:30,Sunday,IOM,LCY,Inbound
BA 3286,16:30,Sunday,LCY,IOM,Outbound
BA 3288,20:00,Sunday,LCY,IOM,Outbound
BA 8711,08:10,Saturday,EDI,LCY,Inbound
BA 8700,09:00,Saturday,LCY,EDI,Outbound
BA 8702,09:35,Saturday,LCY,EDI,Outbound
BA 3281,08:10,Saturday,IOM,LCY,Inbound
BA 3282,08:40,Saturday,LCY,IOM,Outbound
BA 8701,08:05,Monday,EDI,LCY,Inbound
BA 8711,08:40,Monday,EDI,LCY,Inbound
BA 8705,09:10,Monday,EDI,LCY,Inbound
BA 8703,10:10,Monday,EDI,LCY,Inbound
BA 8713,11:05,Monday,EDI,LCY,Inbound
BA 8715,12:05,Monday,EDI,LCY,Inbound
BA 2217,14:00,Monday,EDI,LCY,Inbound
BA 2219,14:45,Monday,EDI,LCY,Inbound
BA 8707,18:05,Monday,EDI,LCY,Inbound
BA 8709,19:20,Monday,EDI,LCY,Inbound
BA 8719,21:20,Monday,EDI,LCY,Inbound
BA 8700,07:00,Monday,LCY,EDI,Outbound
BA 8702,07:50,Monday,LCY,EDI,Outbound
BA 8704,08:45,Monday,LCY,EDI,Outbound
BA 2216,10:40,Monday,LCY,EDI,Outbound
BA 2218,11:35,Monday,LCY,EDI,Outbound
BA 8716,14:20,Monday,LCY,EDI,Outbound
BA 8706,16:10,Monday,LCY,EDI,Outbound
BA 8712,17:10,Monday,LCY,EDI,Outbound
BA 8712,17:10,Monday,LCY,EDI,Outbound
BA 8708,18:00,Monday,LCY,EDI,Outbound
BA 8710,19:00,Monday,LCY,EDI,Outbound
BA 8718,19:50,Monday,LCY,EDI,Outbound
BA 8721,08:15,Monday,GLA,LCY,Inbound
BA 8723,08:50,Monday,GLA,LCY,Inbound
BA 8739,10:15,Monday,GLA,LCY,Inbound
BA 8725,12:10,Monday,GLA,LCY,Inbound
BA 2211,15:30,Monday,GLA,LCY,Inbound
BA 8727,17:30,Monday,GLA,LCY,Inbound
BA 2213,19:00,Monday,GLA,LCY,Inbound
BA 8729,20:20,Monday,GLA,LCY,Inbound
BA 2215,21:15,Monday,GLA,LCY,Inbound
BA 8720,07:05,Monday,LCY,GLA,Outbound
BA 8722,08:50,Monday,LCY,GLA,Outbound
BA 2210,09:20,Monday,LCY,GLA,Outbound
BA 8726,14:20,Monday,LCY,GLA,Outbound
BA 2212,15:50,Monday,LCY,GLA,Outbound
BA 8724,17:00,Monday,LCY,GLA,Outbound
BA 8728,18:00,Monday,LCY,GLA,Outbound
BA 2214,19:30,Monday,LCY,GLA,Outbound
BA 8730,20:30,Monday,LCY,GLA,Outbound
BA 3281,08:10,Monday,IOM,LCY,Inbound
BA 3285,15:50,Monday,IOM,LCY,Inbound
BA 3287,19:30,Monday,IOM,LCY,Inbound
BA 3282,08:40,Monday,LCY,IOM,Outbound
BA 3286,16:30,Monday,LCY,IOM,Outbound
BA 3288,20:00,Monday,LCY,IOM,Outbound
BA 8701,08:05,Friday,EDI,LCY,Inbound
BA 8711,08:40,Friday,EDI,LCY,Inbound
BA 8705,09:10,Friday,EDI,LCY,Inbound
BA 8703,10:10,Friday,EDI,LCY,Inbound
BA 8713,11:05,Friday,EDI,LCY,Inbound
BA 8715,12:05,Friday,EDI,LCY,Inbound
BA 2217,14:00,Friday,EDI,LCY,Inbound
BA 2219,14:45,Friday,EDI,LCY,Inbound
BA 8707,18:05,Friday,EDI,LCY,Inbound
BA 8709,19:20,Friday,EDI,LCY,Inbound
BA 8719,21:20,Friday,EDI,LCY,Inbound
BA 8700,07:00,Friday,LCY,EDI,Outbound
BA 8702,07:50,Friday,LCY,EDI,Outbound
BA 8704,08:45,Friday,LCY,EDI,Outbound
BA 2216,10:40,Friday,LCY,EDI,Outbound
BA 2218,11:35,Friday,LCY,EDI,Outbound
BA 8716,14:20,Friday,LCY,EDI,Outbound
BA 8706,16:10,Friday,LCY,EDI,Outbound
BA 8712,17:10,Friday,LCY,EDI,Outbound
BA 8712,17:10,Friday,LCY,EDI,Outbound
BA 8708,18:00,Friday,LCY,EDI,Outbound
BA 8710,19:00,Friday,LCY,EDI,Outbound
BA 8718,19:50,Friday,LCY,EDI,Outbound
